UID,Title,Type,Country,Address 1,Address 2,City,State,ZIP
1,A la Maison Bistro,French,US,53 Lancaster Ave,,Ardmore,PA,19003
2,Amada,"Tapas Bars, Breakfast & Brunch",US,217 Chestnut St,,Philadelphia,PA,19106
3,Barbuzzo,"Mediterranean, Pizza",US,110 S 13th St,,Philadelphia,PA,19107
4,Bomb Bomb Bar B Que Grill & Italian Restaurant,Italian,US,1026 Wolf St,,Philadelphia,PA,19148
5,Bottle Bar East,"Gastropubs, Pubs, Beer, Wine & Spirits",US,1308 Frankford Ave,,Philadelphia,PA,19125
6,Brick & Brew,"Bars, American (New), Gastropubs",US,2138 Darby Rd,,Havertown,PA,19083
7,Buddakan,"Asian Fusion, Chinese",US,325 Chesnut St,,Philadelphia,PA,19106
8,Central Pizza,Pizza,US,335 E Girard Ave,,Philadelphia,PA,19125
9,Chickie's & Pete's,"Sports Bars, American (Traditional)",US,5035 Township Line Rd,,Drexel HIll,PA,19026
10,Chickie's & Pete's,"Sports Bars, American (New)",US,1526 Packer Ave,,Philadelphia,PA,19145
11,Chickie's & Pete's,"American (Traditional), Seafood, Sandwiches",US,8800 Essington Ave,,Philadelphia,PA,19153
12,Chickie's & Pete's,Sports Bars,US,675 Shannondell Blvd,,Audubon,PA,19403
13,Frankford Hall,"Pubs, German",US,1210 Frankford Ave,,Philadelphia,PA,19125
14,Geno’s Steaks,"Sandwiches, Cheesesteaks",US,1219 S 9th St,,Philadelphia,PA,19147
15,Heffe,"Mexican, Latin American",US,1431 Frankford Ave,,Philadelphia,PA,19125
16,La Colombe Fishtown,Coffee & Tea,US,1335 Frankford Ave,,Philadelphia,PA,19125
17,Local Wine & Kitchen,"American (New), Wine Bars",US,39 W Lancaster Ave,,Ardmore,PA,19003
18,Morimoto,"Japanese, Sushi Bars",US,723 Chestnut St,,Philadelphia,PA,19106
19,Pat’s King of Steaks,"Sandwiches, Cheesesteaks, Italian",US,1237 E Passyunk Ave,,Philadelphia,PA,19147
20,Popi’s Italian Restaurant,Italian,US,3120 S 20th St,,Philadelphia,PA,19145
21,R2L Restaurant,"American (New), Lounges",US,50 S 16th St,,Philadelphia,PA,19102
22,Sketch Burger,Burgers,US,413 E Girard Ave,,Philadelphia,PA,19125
23,The Victor’s Pub,Pubs,US,1 Market St,,Camden,NJ,08102
24,Tired Hands Fermentaria,Breweries,US,35 Cricket Ter,,Ardmore,PA,19003
25,Vetri,Italian,US,1312 Spruce St,,Philadelphia,PA,19107
26,Zahav,Middle Eastern,US,237 St James Pl,,Philadelphia,PA,19106
27,Not Your Average Joe’s,"Bars, American (New)",US,49 St. James Place,,Ardmore,PA,19003
28,Iron Hill Brewery & Restaurant,"Breweries, American (New)",US,60 Greenfield Ave,,Ardmore,PA,19003
29,Sabrina’s Cafe,"Cafes, American (New), Breakfast & Brunch",US,50 E Wynnewood Rd,,Wynnewood,PA,19096
30,Sabrina’s Cafe,"Cafes, American (New), Breakfast & Brunch",US,227 N 34th St,,Philadelphia,PA,19104
31,Sabrina’s Cafe,"Cafes, American (New), Breakfast & Brunch",US,1804 Callowhill St,,Philadelphia,PA,19130
32,Sabrina’s Cafe,"Cafes, American (New), Breakfast & Brunch",US,910 Christian St,,Philadelphia,PA,19147
33,Ardmore Station Cafe,Breakfast & Brunch,US,6 Station Rd,,Ardmore,PA,19003
34,Green Eggs Café,Breakfast & Brunch,US,212 S 13th St,,Philadelphia,PA,19107
35,Tired Hands Brewing,Breweries,US,16 Ardmore Ave,,Ardmore,PA,19003
36,Distrito,Mexican Restaurant,US,3945 Chestnut St,,Philadelphia,PA,19104
37,Bobby's Burger Palace,Burgers,US,3925 Walnut St,,Philadelphia,PA,19104
38,Kilimandjaro,African,US,4317 Chestnut St,,Philadelphia,PA,19104
39,Felicias Pizza Kitchen,Pizza,US,18 W Lancaster Ave,,Ardmore,PA,19003
40,The Beer Shoppe,"Beer, Wine & Spirits, Hot Dogs, Delis",US,44 Greenfield Ave,,Ardmore,PA,19003
41,The Greeks,"Pubs, Sports Bars, American (New)",US,239 Haverford Ave,,Narberth,PA,19072
42,Continental,"American (New), Lounges, Breakfast & Brunch",US,138 Market St,,Philadelphia,PA,19106
43,Vedge,"Vegan, Vegetarian",US,1221 Locust St,,Philadelphia,PA,19107
44,Marrakesh,"Moroccan, Mediterranean",US,517 S Leithgow St,,Philadelphia,PA,19147
45,Vegan Tree,"Vegan, Bakeries, Bubble Tea",US,742 South St,,Philadelphia,PA,19147
46,Jim's Steaks,"Sandwiches, Cheesesteaks",US,400 South St,,Philadelphia,PA,19147
47,Snap Custom Pizza,Pizza,US,4 Station Rd,,Ardmore,PA,19003
48,El Limon,Mexican,US,61 W Lancaster Ave,,Ardmore,PA,19003
49,Mt. Fuji,"Japanese, Sushi Bars, Asian Fusion",US,36 Greenfield Ave,,Ardmore,PA,19003
50,Wawa,Delis,US,19 Woodside Rd,,Ardmore,PA,19003
51,Tria,"Wine Bars, Modern European",US,1137 Spruce St,,Philadelphia,PA,19107
